date,sales,cluster
2013-05-12,6173.534,Cluster 0
2013-05-13,2579.442,Cluster 0
2013-05-14,2313.565,Cluster 0
2013-05-15,2188.607,Cluster 0
2013-05-16,2671.235005,Cluster 0
2013-05-17,2627.781994,Cluster 0
2013-05-18,3282.649,Cluster 0
2013-05-19,3882.642004,Cluster 0
2013-05-20,3064.814,Cluster 0
2013-05-21,2429.054,Cluster 0
2013-05-22,2005.248,Cluster 0
2013-05-23,1837.43,Cluster 0
2013-05-24,2670.486,Cluster 0
2013-05-25,2387.866,Cluster 0
2013-05-26,3286.135,Cluster 0
2013-05-27,2438.078,Cluster 0
2013-05-28,2555.787,Cluster 0
2013-05-29,2176.322996,Cluster 0
2013-05-30,3266.147,Cluster 0
2013-05-31,2492.355,Cluster 0
2013-06-01,3348.6910000000003,Cluster 0
2013-06-02,4368.916,Cluster 0
2013-06-03,3851.527,Cluster 0
2013-06-04,2806.301,Cluster 0
2013-06-05,2638.013,Cluster 0
2013-06-06,2286.3219950000002,Cluster 0
2013-06-07,2500.992,Cluster 0
2013-06-08,3183.184,Cluster 0
2013-06-09,3577.252,Cluster 0
2013-06-10,2483.027,Cluster 0
2013-06-11,1961.535,Cluster 0
2013-06-12,1815.249,Cluster 0
2013-06-13,1950.059,Cluster 0
2013-06-14,2155.922002,Cluster 0
2013-06-15,3234.379002,Cluster 0
2013-06-16,3456.908,Cluster 0
2013-06-17,2948.288,Cluster 0
2013-06-18,2698.625,Cluster 0
2013-06-19,2053.439,Cluster 0
2013-06-20,2545.7819999999997,Cluster 0
2013-06-21,2634.022,Cluster 0
2013-06-22,3054.411,Cluster 0
2013-06-23,3090.669,Cluster 0
2013-06-24,2560.632,Cluster 0
2013-06-25,6176.508,Cluster 0
2013-06-26,1997.801,Cluster 0
2013-06-27,1961.605,Cluster 0
2013-06-28,2483.791001,Cluster 0
2013-06-29,3832.889,Cluster 0
2013-06-30,4076.753,Cluster 0
2013-07-01,3377.369995,Cluster 0
2013-07-02,2968.159,Cluster 0
2013-07-03,5991.714,Cluster 0
2013-07-04,2375.596,Cluster 0
2013-07-05,2422.185,Cluster 0
2013-07-06,3002.864,Cluster 0
2013-07-07,3249.818,Cluster 0
2013-07-08,2527.052,Cluster 0
2013-07-09,2170.258,Cluster 0
2013-07-10,1822.474,Cluster 0
2013-07-11,1872.614,Cluster 0
2013-07-12,1895.351,Cluster 0
2013-07-13,2711.473002,Cluster 0
2013-07-14,3138.987,Cluster 0
2013-07-15,2791.1729960000002,Cluster 0
2013-07-16,2705.426,Cluster 0
2013-07-17,2033.057,Cluster 0
2013-07-18,2351.387004,Cluster 0
2013-07-19,2069.498,Cluster 0
2013-07-20,3105.279,Cluster 0
2013-07-21,3220.544,Cluster 0
2013-07-22,2317.093,Cluster 0
2013-07-23,2365.261,Cluster 0
2013-07-24,1625.332,Cluster 0
2013-07-25,2130.037001,Cluster 0
2013-07-26,2062.586,Cluster 0
2013-07-27,2840.272003,Cluster 0
2013-07-28,2793.007998,Cluster 0
2013-07-29,2398.672,Cluster 0
2013-07-30,2445.456,Cluster 0
2013-07-31,2777.647,Cluster 0
2013-08-01,3283.468998,Cluster 0
2013-08-02,3522.788,Cluster 0
2013-08-03,4259.944,Cluster 0
2013-08-04,3747.577,Cluster 0
2013-08-05,3261.095004,Cluster 0
2013-08-06,2816.424,Cluster 0
2013-08-07,2121.707,Cluster 0
2013-08-08,2411.579998,Cluster 0
2013-08-09,2615.521,Cluster 0
2013-08-10,2932.526,Cluster 0
2013-08-11,3471.087,Cluster 0
2013-08-12,2531.514,Cluster 0
2013-08-13,2573.4069999999997,Cluster 0
2013-08-14,2510.931,Cluster 0
2013-08-15,2795.075,Cluster 0
2013-08-16,2910.167,Cluster 0
2013-08-17,3501.332,Cluster 0
2013-08-18,4254.253,Cluster 0
2013-08-19,3019.949,Cluster 0
2013-08-20,3382.668,Cluster 0
2013-08-21,2315.912,Cluster 0
2013-08-22,2453.604,Cluster 0
2013-08-23,2264.672,Cluster 0
2013-08-24,2876.914998,Cluster 0
2013-08-25,2785.684,Cluster 0
2013-08-26,2212.608,Cluster 0
2013-08-27,2284.232,Cluster 0
2013-08-28,2025.466,Cluster 0
2013-08-29,2283.53,Cluster 0
2013-08-30,2322.716,Cluster 0
2013-08-31,3815.672004,Cluster 0
2013-09-01,4200.168,Cluster 0
2013-09-02,3651.849,Cluster 0
2013-09-03,3096.572,Cluster 0
2013-09-04,2379.59,Cluster 0
2013-09-05,2443.395,Cluster 0
2013-09-06,2312.474,Cluster 0
2013-09-07,2750.286998,Cluster 0
2013-09-08,3138.859,Cluster 0
2013-09-09,2395.290003,Cluster 0
2013-09-10,2035.474,Cluster 0
2013-09-11,1915.66,Cluster 0
2013-09-12,2358.384,Cluster 0
2013-09-13,2495.272997,Cluster 0
2013-09-14,2801.684,Cluster 0
2013-09-15,3943.914,Cluster 0
2013-09-16,2645.139,Cluster 0
2013-09-17,2622.268,Cluster 0
2013-09-18,2208.663,Cluster 0
2013-09-19,2364.358998,Cluster 0
2013-09-20,2465.782,Cluster 0
2013-09-21,2823.2569999999996,Cluster 0
2013-09-22,2755.632,Cluster 0
2013-09-23,2026.384,Cluster 0
2013-09-24,2209.715998,Cluster 0
2013-09-25,1828.003,Cluster 0
2013-09-26,2522.08,Cluster 0
2013-09-27,2744.405,Cluster 0
2013-09-28,3376.754,Cluster 0
2013-09-29,2523.565,Cluster 0
2013-09-30,2636.001,Cluster 0
2013-10-01,3000.102004,Cluster 0
2013-10-02,2708.814002,Cluster 0
2013-10-03,2282.618,Cluster 0
2013-10-04,2240.444,Cluster 0
2013-10-05,2880.908,Cluster 0
2013-10-06,2668.135,Cluster 0
2013-10-07,2199.696,Cluster 0
2013-10-08,2191.274,Cluster 0
2013-10-09,1804.958997,Cluster 0
2013-10-10,2027.517,Cluster 0
2013-10-11,2930.1440000000002,Cluster 0
2013-10-12,2465.929,Cluster 0
2013-10-13,2898.29,Cluster 0
2013-10-14,2420.213,Cluster 0
2013-10-15,2412.823,Cluster 0
2013-10-16,2548.814,Cluster 0
2013-10-17,2240.756,Cluster 0
2013-10-18,1985.260002,Cluster 0
2013-10-19,2681.001004,Cluster 0
2013-10-20,3317.974,Cluster 0
2013-10-21,2161.178,Cluster 0
2013-10-22,2044.475,Cluster 0
2013-10-23,1763.793,Cluster 0
2013-10-24,2150.253,Cluster 0
2013-10-25,2077.823,Cluster 0
2013-10-26,2606.032002,Cluster 0
2013-10-27,2954.197,Cluster 0
2013-10-28,1925.997001,Cluster 0
2013-10-29,2499.911,Cluster 0
2013-10-30,2218.044,Cluster 0
2013-10-31,2461.579,Cluster 0
2013-11-01,2950.947997,Cluster 0
2013-11-02,3829.998,Cluster 0
2013-11-03,3696.042,Cluster 0
2013-11-04,3001.280002,Cluster 0
2013-11-05,2645.432,Cluster 0
2013-11-06,2504.128,Cluster 0
2013-11-07,2312.912,Cluster 0
2013-11-08,1944.266,Cluster 0
2013-11-09,2940.215,Cluster 0
2013-11-10,3290.95,Cluster 0
2013-11-11,2251.736995,Cluster 0
2013-11-12,2002.818,Cluster 0
2013-11-13,1797.247,Cluster 0
2013-11-14,2019.56,Cluster 0
2013-11-15,2104.359,Cluster 0
2013-11-16,3509.177,Cluster 0
2013-11-17,3941.636,Cluster 0
2013-11-18,2654.09,Cluster 0
2013-11-19,2323.232,Cluster 0
2013-11-20,2292.588,Cluster 0
2013-11-21,2100.658002,Cluster 0
2013-11-22,2185.663,Cluster 0
2013-11-23,2505.222,Cluster 0
2013-11-24,2849.007,Cluster 0
2013-11-25,2323.353,Cluster 0
2013-11-26,2063.416,Cluster 0
2013-11-27,1884.460002,Cluster 0
2013-11-28,2101.861,Cluster 0
2013-11-29,2208.614,Cluster 0
2013-11-30,3696.023,Cluster 0
2013-12-01,4182.657,Cluster 0
2013-12-02,3134.629,Cluster 0
2013-12-03,3006.011,Cluster 0
2013-12-04,2058.612998,Cluster 0
2013-12-05,2262.417,Cluster 0
2013-12-06,2046.226,Cluster 0
2013-12-07,2730.39,Cluster 0
2013-12-08,3045.924,Cluster 0
2013-12-09,2581.720003,Cluster 0
2013-12-10,2198.844,Cluster 0
2013-12-11,2499.665005,Cluster 0
2013-12-12,2031.614,Cluster 0
2013-12-13,2231.128,Cluster 0
2013-12-14,2991.579002,Cluster 0
2013-12-15,2929.345,Cluster 0
2013-12-16,3130.185,Cluster 0
2013-12-17,2689.775,Cluster 0
2013-12-18,2545.406,Cluster 0
2013-12-19,3113.104003,Cluster 0
2013-12-20,3782.878044,Cluster 0
2013-12-21,4326.375,Cluster 0
2013-12-22,8350.774,Cluster 0
2013-12-23,4275.287,Cluster 0
2013-12-24,6733.409,Cluster 0
2013-12-26,2539.69801,Cluster 0
2013-12-27,2603.033,Cluster 0
2013-12-28,3195.042,Cluster 0
2013-12-29,3032.044,Cluster 0
2013-12-30,4519.119,Cluster 0
2013-12-31,6281.70601,Cluster 0
2014-01-01,0.0,Cluster 0
2014-01-02,3146.146702,Cluster 0
2014-01-03,2929.572999,Cluster 0
2014-01-04,4063.801,Cluster 0
2014-01-05,3907.730001,Cluster 0
2014-01-06,3135.482,Cluster 0
2014-01-07,2751.031,Cluster 0
2014-01-08,2442.655,Cluster 0
2014-01-09,2824.794202,Cluster 0
2014-01-10,2529.996,Cluster 0
2014-01-11,3367.331,Cluster 0
2014-01-12,3992.8139899999996,Cluster 0
2014-01-13,2925.910996,Cluster 0
2014-01-14,2913.6251,Cluster 0
2014-01-15,2940.544,Cluster 0
2014-01-16,2991.842995,Cluster 0
2014-01-17,2629.804,Cluster 0
2014-01-18,4139.164002,Cluster 0
2014-01-19,4537.346,Cluster 0
2014-01-20,3018.723,Cluster 0
2014-01-21,3247.6488,Cluster 0
2014-01-22,2555.585,Cluster 0
2014-01-23,2335.7902,Cluster 0
2014-01-24,3148.073998,Cluster 0
2014-01-25,3385.378,Cluster 0
2014-01-26,4107.175,Cluster 0
2014-01-27,2941.392,Cluster 0
2014-01-28,2853.5266,Cluster 0
2014-01-29,2321.002,Cluster 0
2014-01-30,3255.953198,Cluster 0
2014-01-31,2848.616,Cluster 0
2014-02-01,4121.851,Cluster 0
2014-02-02,3763.54,Cluster 0
2014-02-03,2867.085,Cluster 0
2014-02-04,2948.01,Cluster 0
2014-02-05,2518.542998,Cluster 0
2014-02-06,2238.2666,Cluster 0
2014-02-07,2168.791,Cluster 0
2014-02-08,3239.718996,Cluster 0
2014-02-09,2897.822,Cluster 0
2014-02-10,2264.761,Cluster 0
2014-02-11,2063.388,Cluster 0
2014-02-12,1935.58,Cluster 0
2014-02-13,2140.6422000000002,Cluster 0
2014-02-14,2675.869997,Cluster 0
2014-02-15,3408.904,Cluster 0
2014-02-16,3580.64,Cluster 0
2014-02-17,2631.217,Cluster 0
2014-02-18,2398.195,Cluster 0
2014-02-19,2040.954,Cluster 0
2014-02-20,2477.4139999999998,Cluster 0
2014-02-21,2063.514,Cluster 0
2014-02-22,2945.244001,Cluster 0
2014-02-23,2126.063,Cluster 0
2014-02-24,2475.748,Cluster 0
2014-02-25,2011.64,Cluster 0
2014-02-26,1919.2,Cluster 0
2014-02-27,2332.807393,Cluster 0
2014-02-28,2584.908,Cluster 0
2014-03-01,6190.112,Cluster 0
2014-03-02,3932.418,Cluster 0
2014-03-03,3065.229,Cluster 0
2014-03-04,3456.8357,Cluster 0
2014-03-05,3542.153,Cluster 0
2014-03-06,4262.1482,Cluster 0
2014-03-07,3732.855,Cluster 0
2014-03-08,3752.814,Cluster 0
2014-03-09,3596.887,Cluster 0
2014-03-10,3040.438,Cluster 0
2014-03-11,3210.4897,Cluster 0
2014-03-12,2015.719,Cluster 0
2014-03-13,3135.0666,Cluster 0
2014-03-14,3110.050003,Cluster 0
2014-03-15,3897.1059800000003,Cluster 0
2014-03-16,4150.256,Cluster 0
2014-03-17,3327.877004,Cluster 0
2014-03-18,3567.5203,Cluster 0
2014-03-19,3300.074996,Cluster 0
2014-03-20,3156.8285,Cluster 0
2014-03-21,3385.411002,Cluster 0
2014-03-22,3483.104004,Cluster 0
2014-03-23,3612.724,Cluster 0
2014-03-24,3072.786,Cluster 0
2014-03-25,3403.2026,Cluster 0
2014-03-26,2504.36,Cluster 0
2014-03-27,3936.0133,Cluster 0
2014-03-28,2508.203,Cluster 0
2014-03-29,3704.317004,Cluster 0
2014-03-30,4022.944996,Cluster 0
2014-03-31,3591.773,Cluster 0
2014-04-01,3698.743,Cluster 0
2014-04-02,2719.115998,Cluster 0
2014-04-03,2527.4189,Cluster 0
2014-04-04,2629.404004,Cluster 0
2014-04-05,2789.569,Cluster 0
2014-04-06,2792.426,Cluster 0
2014-04-07,2132.389,Cluster 0
2014-04-08,2051.408,Cluster 0
2014-04-09,2078.398,Cluster 0
2014-04-10,2013.2762,Cluster 0
2014-04-11,2070.756,Cluster 0
2014-04-12,8094.119,Cluster 0
2014-04-13,2576.901,Cluster 0
2014-04-14,2286.734,Cluster 0
2014-04-15,2162.474,Cluster 0
2014-04-16,2415.205,Cluster 0
2014-04-17,2829.7138,Cluster 0
2014-04-18,2702.413,Cluster 0
2014-04-19,2676.022004,Cluster 0
2014-04-20,2687.905,Cluster 0
2014-04-21,2294.632998,Cluster 0
2014-04-22,2076.635002,Cluster 0
2014-04-23,1767.965,Cluster 0
2014-04-24,2313.8153,Cluster 0
2014-04-25,2335.074,Cluster 0
2014-04-26,2563.276002,Cluster 0
2014-04-27,2440.352,Cluster 0
2014-04-28,2095.992002,Cluster 0
2014-04-29,2138.831,Cluster 0
2014-04-30,1832.838,Cluster 0
2014-05-01,3026.5519,Cluster 0
2014-05-02,2455.618,Cluster 0
2014-05-03,3737.665001,Cluster 0
2014-05-04,2799.247,Cluster 0
2014-05-05,2537.478,Cluster 0
2014-05-06,2416.902,Cluster 0
2014-05-07,1968.137,Cluster 0
2014-05-08,2646.870698,Cluster 0
2014-05-09,2866.113,Cluster 0
2014-05-10,3138.164,Cluster 0
2014-05-11,2612.85,Cluster 0
2014-05-12,2475.294,Cluster 0
2014-05-13,2037.504,Cluster 0
2014-05-14,1975.114,Cluster 0
2014-05-15,2246.2804,Cluster 0
2014-05-16,2726.706,Cluster 0
2014-05-17,3175.661,Cluster 0
2014-05-18,6720.306,Cluster 0
2014-05-19,2256.662,Cluster 0
2014-05-20,2267.872,Cluster 0
2014-05-21,2029.844,Cluster 0
2014-05-22,2078.94,Cluster 0
2014-05-23,1702.522,Cluster 0
2014-05-24,3154.605,Cluster 0
2014-05-25,2896.587,Cluster 0
2014-05-26,2186.681,Cluster 0
2014-05-27,2117.660999,Cluster 0
2014-05-28,1852.346,Cluster 0
2014-05-29,14596.553699999999,Cluster 0
2014-05-30,10248.219998,Cluster 0
2014-05-31,16471.814004,Cluster 0
2014-06-01,18850.994,Cluster 0
2014-06-02,9966.4219998,Cluster 0
2014-06-03,7973.927,Cluster 0
2014-06-04,8264.484,Cluster 0
2014-06-05,6364.6047,Cluster 0
2014-06-06,7417.942999,Cluster 0
2014-06-07,11338.583,Cluster 0
2014-06-08,13368.968004,Cluster 0
2014-06-09,7098.062,Cluster 0
2014-06-10,5646.373,Cluster 0
2014-06-11,5961.473,Cluster 0
2014-06-12,5573.837,Cluster 0
2014-06-13,6345.3003,Cluster 0
2014-06-14,11420.190002,Cluster 0
2014-06-15,9768.903015,Cluster 0
2014-06-16,8184.217004,Cluster 0
2014-06-17,6405.486,Cluster 0
2014-06-18,6408.90102,Cluster 0
2014-06-19,5478.664,Cluster 0
2014-06-20,6063.7739,Cluster 0
2014-06-21,9521.4,Cluster 0
2014-06-22,11461.5930015,Cluster 0
2014-06-23,6138.216,Cluster 0
2014-06-24,5307.845002,Cluster 0
2014-06-25,28131.8,Cluster 0
2014-06-26,5396.546996,Cluster 0
2014-06-27,5633.4800000000005,Cluster 0
2014-06-28,8795.823003,Cluster 0
2014-06-29,10430.846019999999,Cluster 0
2014-06-30,6942.186,Cluster 0
2014-07-01,12189.788,Cluster 0
2014-07-02,13497.293,Cluster 0
2014-07-03,17256.5098,Cluster 0
2014-07-04,8820.438,Cluster 0
2014-07-05,12583.833,Cluster 0
2014-07-06,17437.60301,Cluster 0
2014-07-07,8998.362,Cluster 0
2014-07-08,7518.45602,Cluster 0
2014-07-09,8569.769,Cluster 0
2014-07-10,6843.040991,Cluster 0
2014-07-11,8007.29604,Cluster 0
2014-07-12,11942.08598,Cluster 0
2014-07-13,14313.751004,Cluster 0
2014-07-14,9038.627,Cluster 0
2014-07-15,8901.825,Cluster 0
2014-07-16,10480.728,Cluster 0
2014-07-17,8392.439,Cluster 0
2014-07-18,8781.667999,Cluster 0
2014-07-19,11778.437998000001,Cluster 0
2014-07-20,15116.516,Cluster 0
2014-07-21,8856.795113,Cluster 0
2014-07-22,7633.911,Cluster 0
2014-07-23,8735.79,Cluster 0
2014-07-24,6409.289004,Cluster 0
2014-07-25,7484.259004,Cluster 0
2014-07-26,10467.194997999999,Cluster 0
2014-07-27,13259.483,Cluster 0
2014-07-28,8914.949,Cluster 0
2014-07-29,7251.3040280000005,Cluster 0
2014-07-30,9068.735,Cluster 0
2014-07-31,9207.496995,Cluster 0
2014-08-01,8398.882,Cluster 0
2014-08-02,10509.604,Cluster 0
2014-08-03,12031.481,Cluster 0
2014-08-04,6108.143999,Cluster 0
2014-08-05,5847.059003,Cluster 0
2014-08-06,6283.301996,Cluster 0
2014-08-07,5613.364,Cluster 0
2014-08-08,5326.577,Cluster 0
2014-08-09,8295.333002,Cluster 0
2014-08-10,9911.733,Cluster 0
2014-08-11,6022.135,Cluster 0
2014-08-12,4953.097,Cluster 0
2014-08-13,5862.26,Cluster 0
2014-08-14,5520.160996,Cluster 0
2014-08-15,6106.918002,Cluster 0
2014-08-16,9448.141,Cluster 0
2014-08-17,10430.098,Cluster 0
2014-08-18,6387.5419999999995,Cluster 0
2014-08-19,5355.401,Cluster 0
2014-08-20,6123.62303,Cluster 0
2014-08-21,5065.983001,Cluster 0
2014-08-22,5950.33399,Cluster 0
2014-08-23,8746.853,Cluster 0
2014-08-24,9034.777005,Cluster 0
2014-08-25,6073.48802,Cluster 0
2014-08-26,5435.914,Cluster 0
2014-08-27,5923.031002,Cluster 0
2014-08-28,5172.659,Cluster 0
2014-08-29,5771.474999999999,Cluster 0
2014-08-30,8774.221,Cluster 0
2014-08-31,10926.866,Cluster 0
2014-09-01,11700.689004,Cluster 0
2014-09-02,10081.79,Cluster 0
2014-09-03,16756.568002,Cluster 0
2014-09-04,7979.425996,Cluster 0
2014-09-05,8484.406991,Cluster 0
2014-09-06,11159.14098,Cluster 0
2014-09-07,13638.851002,Cluster 0
2014-09-08,8051.368,Cluster 0
2014-09-09,7903.877997,Cluster 0
2014-09-10,8484.312,Cluster 0
2014-09-11,6517.658,Cluster 0
2014-09-12,14145.69,Cluster 0
2014-09-13,10921.538998,Cluster 0
2014-09-14,12586.723,Cluster 0
2014-09-15,10232.453997,Cluster 0
2014-09-16,8686.536,Cluster 0
2014-09-17,8962.664022,Cluster 0
2014-09-18,7659.493,Cluster 0
2014-09-19,7214.815002,Cluster 0
2014-09-20,9232.923998,Cluster 0
2014-09-21,13777.858,Cluster 0
2014-09-22,8211.533002,Cluster 0
2014-09-23,8092.0570020000005,Cluster 0
2014-09-24,8130.537,Cluster 0
2014-09-25,6660.445,Cluster 0
2014-09-26,6413.068,Cluster 0
2014-09-27,15801.106,Cluster 0
2014-09-28,11211.863000000001,Cluster 0
2014-09-29,8092.636002,Cluster 0
2014-09-30,8353.556,Cluster 0
2014-10-01,10767.807002,Cluster 0
2014-10-02,9352.343004,Cluster 0
2014-10-03,9394.324,Cluster 0
2014-10-04,10607.65,Cluster 0
2014-10-05,11255.36499,Cluster 0
2014-10-06,7799.287,Cluster 0
2014-10-07,8829.917,Cluster 0
2014-10-08,8127.266,Cluster 0
2014-10-09,7705.072,Cluster 0
2014-10-10,10159.331,Cluster 0
2014-10-11,9518.637999999999,Cluster 0
2014-10-12,13249.362000000001,Cluster 0
2014-10-13,7542.673995,Cluster 0
2014-10-14,6742.463,Cluster 0
2014-10-15,9183.069995,Cluster 0
2014-10-16,9395.094002,Cluster 0
2014-10-17,8950.303998,Cluster 0
2014-10-18,11633.941,Cluster 0
2014-10-19,14122.02501,Cluster 0
2014-10-20,8231.62501,Cluster 0
2014-10-21,7664.076196,Cluster 0
2014-10-22,8019.704,Cluster 0
2014-10-23,6874.175,Cluster 0
2014-10-24,7716.759,Cluster 0
2014-10-25,10828.549004,Cluster 0
2014-10-26,12454.264,Cluster 0
2014-10-27,9138.129,Cluster 0
2014-10-28,6521.783,Cluster 0
2014-10-29,7967.257004,Cluster 0
2014-10-30,9878.054,Cluster 0
2014-10-31,9269.11999,Cluster 0
2014-11-01,13783.875999,Cluster 0
2014-11-02,10766.646,Cluster 0
2014-11-03,12132.086,Cluster 0
2014-11-04,11192.413,Cluster 0
2014-11-05,9873.457988,Cluster 0
2014-11-06,7673.404004,Cluster 0
2014-11-07,7887.916,Cluster 0
2014-11-08,9966.429,Cluster 0
2014-11-09,12451.413,Cluster 0
2014-11-10,8494.216,Cluster 0
2014-11-11,6995.41,Cluster 0
2014-11-12,8473.28,Cluster 0
2014-11-13,7183.4109960000005,Cluster 0
2014-11-14,7486.5599999999995,Cluster 0
2014-11-15,11310.975012,Cluster 0
2014-11-16,15238.79801,Cluster 0
2014-11-17,8514.944,Cluster 0
2014-11-18,7501.84,Cluster 0
2014-11-19,8097.822,Cluster 0
2014-11-20,7592.390004,Cluster 0
2014-11-21,8135.826,Cluster 0
2014-11-22,10274.373,Cluster 0
2014-11-23,13564.478,Cluster 0
2014-11-24,8325.973002,Cluster 0
2014-11-25,7002.72301,Cluster 0
2014-11-26,8333.744,Cluster 0
2014-11-27,6585.720004000001,Cluster 0
2014-11-28,7427.9780040000005,Cluster 0
2014-11-29,12045.26202,Cluster 0
2014-11-30,15774.072,Cluster 0
2014-12-01,9599.028,Cluster 0
2014-12-02,10124.994,Cluster 0
2014-12-03,11986.165,Cluster 0
2014-12-04,8055.220992,Cluster 0
2014-12-05,10609.20002,Cluster 0
2014-12-06,11640.593,Cluster 0
2014-12-07,14191.737,Cluster 0
2014-12-08,9158.197998,Cluster 0
2014-12-09,8377.672,Cluster 0
2014-12-10,9210.862,Cluster 0
2014-12-11,8089.919,Cluster 0
2014-12-12,10503.386,Cluster 0
2014-12-13,12617.357002,Cluster 0
2014-12-14,15914.697005,Cluster 0
2014-12-15,9936.689999,Cluster 0
2014-12-16,12695.035,Cluster 0
2014-12-17,11249.41,Cluster 0
2014-12-18,10421.97,Cluster 0
2014-12-19,13007.8260019,Cluster 0
2014-12-20,14840.507,Cluster 0
